Humidity,Temperature,Light Intensity Level,CO Level
99.9,25,136,3.57
99.9,24.5,150,3.42
99.9,24.4,245,3.53
99.9,24.4,153,3.51
99.9,24.3,163,3.51
99.9,24.6,207,3.53
99.9,24.7,200,3.57
99.9,24.5,141,3.49
99.9,24.3,132,3.49
99.9,24.5,100,3.51
99.9,25,94,3.49
99.9,25.9,61,3.48
99.9,25.9,35,3.44
99.9,25.9,66,3.46
99.9,25.9,51,3.49
99.9,25.8,54,3.42
99.9,25.8,29,3.48
99.9,25.7,26,3.48
99.9,25.7,23,3.51
99.9,25.7,22,3.53
99.9,25.7,22,3.51
99.9,25.7,22,3.55
99.9,25.5,22,3.51
99.9,25.5,22,3.51
99.9,25.5,22,3.53
99.9,25.6,23,3.51
99.9,25.6,22,3.46
99.9,25.5,22,3.44
99.9,25.5,22,3.42
99.9,25.5,22,3.4
99.9,25.5,23,3.42
99.9,25.6,22,3.42
99.9,25.7,22,3.44
99.9,25.7,22,3.46
99.9,25.7,22,3.44
99.9,25.7,23,3.42
99.9,25.7,22,3.44
99.9,25.7,21,3.42
99.9,25.6,21,3.42
99.9,25.7,22,3.42
99.9,25.7,22,3.44
99.9,25.6,23,3.44
99.9,25.6,22,3.42
99.9,25.5,22,3.44
99.9,25.5,22,3.44
99.9,25.5,23,3.44
99.9,25.5,22,3.42
99.9,25.8,22,3.38
99.9,25.7,22,3.37
99.9,25.7,23,3.35
99.9,25.8,22,3.23
99.9,25.8,22,3.13
99.9,25.8,22,3.16
99.9,25.8,22,3.13
99.9,25.6,22,3.07
99.9,25.7,21,3.13
99.9,25.6,22,3.18
99.9,25.7,22,3.13
99.9,25.7,24,3.18
99.9,25.7,22,3.18
99.9,25.8,22,3.02
99.9,25.9,22,3.23
99.9,25.9,22,3.25
99.9,25.9,22,3.25
99.9,26,21,3.33
99.9,26,22,3.33
99.9,26.1,23,3.35
99.9,26.2,22,3.37
99.9,26.3,22,3.37
99.9,26.3,23,3.37
99.9,26.3,23,3.38
99.9,26.3,22,3.35
99.9,26.2,22,3.33
99.9,26.2,22,3.33
99.9,26.1,22,3.37
99.9,26.1,23,3.31
99.9,26.1,22,3.35
99.9,26.1,22,3.33
99.9,26.1,22,3.35
99.9,26.1,22,3.37
99.9,26.1,22,3.33
99.9,26.2,21,3.33
99.9,26.6,22,3.33
99.9,27.3,22,3.26
99.9,27.2,22,3.02
99.9,27.4,22,3.21
99.9,27.5,22,3.23
99.9,27.5,26,3.21
99.9,27.7,34,3.26
99.7,27.9,63,3.18
98.5,28.1,87,3.21
98.5,28.2,107,3.21
98.1,28.4,120,3.26
96.8,28.5,134,3.25
97.3,28.8,151,3.21
96.3,28.7,159,3.16
96.6,29.1,179,3.12
94.9,29.1,197,3.13
95.1,29.5,212,3.08
95,29.8,215,3.16
93.7,29.9,228,3.16
93.3,29.7,229,3.12
92.5,30.1,224,3.15
90.9,30.8,238,3.13
91.6,30.9,248,3.13
91.1,30.9,278,3.12
91,31,278,3.08
89.2,31.1,230,3.12
85.1,31.8,269,3.2
84,32.1,289,3.2
91.7,31.5,284,3.05
89.4,31.6,304,3.05
84.4,32.1,268,2.89
85.4,31.7,286,2.99
91.3,30.4,350,3.02
67.4,36,119,1.83
67,35.9,119,1.76
68.1,35.8,119,1.68
69,35.7,117,1.71
69.4,35.7,110,1.84
69,35.6,106,1.93
69.4,35.5,113,2.07
69.3,35.5,113,1.98
69.9,35.4,139,1.81
70.5,35.4,151,1.73
71.6,35.3,142,1.76
71.2,35.3,124,1.78
70.7,35.2,167,1.62
70.1,35.2,113,1.93
69.6,35.1,115,1.94
70.4,35,116,1.96
71.2,35,112,2
71.5,34.9,111,2.02
71.1,34.9,112,2.03
71.5,34.9,110,2.04
72.7,34.8,111,2.05
73.2,34.8,109,2.06
73.6,34.7,108,2.07
73.9,34.7,111,2.07
73.4,34.7,106,2.09
73.2,34.7,111,2.09
73,34.7,111,2.12
72.8,34.7,111,2.13
72.6,34.7,112,2.14
72.3,34.8,113,2.14
72.4,34.8,116,2.15
72.3,34.9,166,2.34
72.1,34.9,179,2.21
72.9,35.5,150,2.42
72,36.4,342,2.24
71.8,36.7,210,2.23
70.6,37.9,183,2.46
69.4,38.2,168,2.74
68.7,38.4,164,2.61
68.7,38.8,161,2.47
68.7,39.6,160,2.43
67.7,40.3,159,2.46
64.4,41,165,2.27
65.2,42,163,2.3
73.5,42.9,185,1.34
77.4,44.7,155,1.23
80.1,46,162,1.22
73.9,47.7,157,1.3
59.1,48.6,159,1.37
57.9,49.4,162,1.61
53.4,49.7,194,1.57
51.2,49.9,196,1.69
50,50.1,196,1.82
48.8,50.3,169,2.03
48.6,50.7,173,1.42
56,51.3,177,1.1
91.7,30.4,168,1.94
91.7,30.4,167,1.94
91.7,30.4,166,1.93
91.7,30.4,162,1.94
91.8,30.4,158,1.97
91.9,30.4,157,1.98
92,30.4,153,2.03
92.1,30.4,151,1.99
92.1,30.4,150,1.98
92,30.4,150,2.01
92,30.4,150,1.98
92,30.4,148,2.03
92.1,30.4,151,1.92
92.2,30.4,154,1.82
92,30.4,157,1.93
92,30.4,160,1.79
92.2,30.4,162,1.8
91.9,30.4,162,1.82
91.9,30.4,164,1.79
91.9,30.4,163,1.84
91.8,30.4,163,1.82
91.9,30.4,164,1.83
92.1,30.4,164,1.83
92.1,30.4,136,1.82
92.1,30.4,143,1.77
92,30.4,143,1.76
92.1,30.4,141,1.72
92.1,30.4,142,1.69
92,30.4,144,1.66
92,30.4,134,1.77
92,30.4,127,1.85
92.1,30.4,127,1.93
92.1,30.5,158,1.71
92.1,30.5,163,1.5
91.9,30.6,180,1.46
92,30.6,198,1.35
92,30.7,247,1.41
92,30.8,223,1.5
92,30.9,219,1.48
92.6,31.3,250,1.47
91.5,31.8,268,1.49
91,32.3,279,1.48
90.6,32.8,281,1.65
89.5,33.4,290,1.54
91.7,34.3,297,1.47
92.3,35.2,294,1.42
92.3,36,293,1.4
91.4,36.8,295,1.38
89,37.7,298,1.38
87.8,38.6,298,1.37
84.4,39.5,307,1.4
84.5,40.5,304,1.42
80.8,41.3,308,1.44
77.8,42.2,316,1.39
75.5,43.1,313,1.43
73.4,44.1,319,1.44
65,45.1,318,1.46
60.8,46,317,1.46
59.4,47.1,332,1.56
62.1,48.7,355,1.65
57.7,49.3,342,1.76
54.7,50,343,1.82
54.2,50.6,344,1.75
55.1,51.2,337,1.89
54.1,51.8,316,1.85
53,52.5,242,1.9
52.4,53.1,235,1.32
52.7,53.9,220,1.49
47.9,54.1,206,1.14
47.3,54.1,212,1.14
46.3,54.4,199,1.14
44.7,54.7,216,1.07
44.3,55,186,1.03
44,55.4,221,0.88
44.9,55.8,170,0.97
43.4,56.2,193,1.06
41.9,56.5,198,1.13
41.1,56.8,231,1.17
40.9,57.2,196,1.38
40,57.5,207,1.44
39.7,57.8,203,1.49
39.1,58.2,213,1.52
38.4,58.4,193,1.34
38.1,58.6,232,1.33
37.5,58.8,220,1.45
37,59,245,1.37
36.4,58.9,258,1.37
36.1,58.9,236,1.45
35.8,58.9,181,1.53
35.7,58.9,225,1.51
35.7,58.8,222,1.44
35.6,58.8,224,1.44
35.5,58.8,195,1.38
35.4,58.5,188,0.88
40,58.7,176,1
38,59,226,1.15
37.4,59.9,187,1.44
37.6,59.7,187,1.71
37.9,59.8,181,1.88
37.2,60,214,1.39
36.1,60.1,215,1.08
37.7,60.1,264,0.83
37.7,60.2,262,0.85
37.3,60.2,238,1.12
35.8,60.2,261,0.86
38.3,60.1,256,1
36.5,60,268,0.86
38.8,60.7,295,0.89
37.8,60.8,282,0.99
36,60.8,263,1.17
34.7,60.5,269,0.69
38.9,60.9,267,0.74
39.9,61.3,212,0.64
41.5,61.4,194,0.83
38.9,61.5,190,0.99
36.9,61.6,192,1.09
35.9,61.6,181,1.16
35.7,61.6,178,1.26
35.5,61.6,143,1.33
35,61.4,142,1.34
35,61.4,246,1.3
35,61.2,220,1.25
35.1,61.1,240,1.25
34.8,61,272,1.17
34.6,60.8,278,1.06
35.4,60.6,281,1
36.6,60.5,277,0.94
35.7,60.4,277,1.09
34.7,60.1,249,1.21
34.5,60,286,1.09
34.4,59.8,287,0.99
34.4,59.5,250,1.23
34.2,59.3,261,1.14
34.5,59.1,263,0.98
36.8,58.7,276,0.96
35.9,58.5,254,0.99
36.2,58.4,275,0.98
36.2,58.2,232,1.02
35.8,58,207,0.94
36.4,57.9,232,0.96
36.4,57.8,254,1.07
35.7,57.7,242,1.14
35.5,57.6,246,1.19
35.4,57.6,255,1.2
35.6,57.7,244,1.24
35.6,57.8,227,1.27
35.4,57.8,226,1.17
36.8,57.7,241,1.04
36.7,57.7,243,1.2
35.3,57.6,236,1.27
35,57.5,241,1.31
35,57.4,229,0.98
36.4,57.2,234,1.01
36.8,57.1,228,0.87
37.2,57.1,232,0.88
36.7,56.9,222,1.07
35.3,56.8,209,1.16
35.2,56.7,202,1.22
35,56.6,193,1.26
34.9,56.5,188,1.29
34.9,56.2,180,1.31
34.9,56.1,180,1.02
35.7,55.8,170,1.16
35.9,55.7,176,1.2
35.5,55.8,175,1.24
35.5,55.9,178,1.09
36.1,56.1,182,0.91
37.2,56,178,0.92
36.7,56,195,0.98
36.6,56.2,197,0.94
37,56.2,209,1.14
36.4,56.3,221,1.23
36.2,56.4,227,1.28
36.4,56.5,227,1.2
36.6,56.5,238,0.98
37.4,56.5,250,1
37.4,56.5,249,1.12
36.9,56.5,252,1.24
36.5,56.5,250,1.18
36.4,56.4,242,0.92
37.6,56.4,242,1
37.3,56.2,230,1
38.2,56.1,223,1.01
37.8,56.1,206,1.1
37.3,56,202,1.24
36.5,55.8,197,1.32
36.1,55.7,195,1.37
36,55.6,194,1.41
,,,

